Symbol,Date,Open,High,Low,Close,Turnover
HNX3.L,2026-06-12,11.57,13.0,11.135,12.725,452138.26
HNX3.L,2026-06-15,13.71,16.665,13.7,16.5675,2609859.635
HNX3.L,2026-06-16,17.5,22.71,15.965,15.91,1619692.805
HNX3.L,2026-06-17,18.595,20.005,17.5,19.1475,2497944.955
HNX3.L,2026-06-18,22.165,28.53,22.0,28.065,1354995.645
HNX3.L,2026-06-19,26.02,27.91,24.5,26.145,1633465.18
HNX3.L,2026-06-22,28.5,36.38,28.5,32.405,8367290.74
HNX3.L,2026-06-23,20.0,20.79,17.0,18.68,15774524.025
HNX3.L,2026-06-24,18.96,19.605,16.65,17.4625,4768004.475
HNX3.L,2026-06-25,24.51,24.99,20.3,22.33,11797549.215
HNX3.L,2026-06-26,21.45,21.45,16.53,18.02,12361394.445
HNX3.L,2026-06-29,18.25,18.25,13.9,15.2,3688796.905
HNX3.L,2026-06-30,16.99,18.25,16.85,17.5,2654786.535
HNX3.L,2026-07-01,15.14,15.68,13.12,13.6975,5375279.985
HNX3.L,2026-07-02,9.1,11.17,8.2225,8.8225,10346244.275
HNX3.L,2026-07-03,10.91,11.52,10.845,11.3475,1607304.6
SMG3.L,2026-06-12,11.52,12.515,11.0,12.195,63323.62
SMG3.L,2026-06-15,13.205,14.5,13.17,14.6425,383952.15
SMG3.L,2026-06-16,15.0,17.4,12.605,12.6825,1425668.68
SMG3.L,2026-06-17,15.0,15.5,13.2,13.5,121210.78
SMG3.L,2026-06-18,16.22,18.17,15.8,18.235,190204.58
SMG3.L,2026-06-19,16.1,16.195,15.385,15.9975,384789.54
SMG3.L,2026-06-22,16.205,17.8,15.3,16.6575,543440.81
SMG3.L,2026-06-23,15.0,15.0,9.76,9.8875,635777.92
SMG3.L,2026-06-24,12.59,12.7,11.2,11.5925,340088.87
SMG3.L,2026-06-25,14.8,14.8,11.815,12.38,1073532.265
SMG3.L,2026-06-26,12.08,12.265,10.895,11.975,305260.97
SMG3.L,2026-06-29,11.97,11.97,8.785,9.72375,339459.13
SMG3.L,2026-06-30,10.995,11.73,10.85,11.315,224664.74
SMG3.L,2026-07-01,11.445,11.445,8.5,8.605,304486.68
SMG3.L,2026-07-02,6.6025,8.2,6.19,6.26,352440.5075
SMG3.L,2026-07-03,7.9525,8.8,7.885,8.31625,212538.67
